destination,time,goodput_mbps
server3,15.0,0.65536
server3,15.2,0.65536
server3,15.4,0.65536
server3,15.6,0.65536
server3,15.8,118.34976
server3,16.0,0.30784
server3,16.2,0.65536
server3,16.4,0.65536
server3,16.6,0.65536
server3,16.8,0.65536
server3,17.0,0.65536
server3,17.2,42.25088
server3,17.4,0.65536
server3,17.6,25.8336
server3,17.8,0.65536
server3,18.0,0.65536
server3,18.2,0.65536
server3,18.4,0.65536
server3,18.6,0.65536
server3,18.8,20.31616
server3,19.0,0.65536
server3,19.2,0.65536
server3,19.4,0.65536
server3,19.6,0.65536
server3,19.8,0.65536
server3,20.0,0.65536
server3,20.2,0.65536
server3,20.4,0.65536
server3,20.6,0.65536
server3,20.8,0.65536
server3,21.0,0.65536
server3,21.2,15.72864
server3,21.4,0.65536
server3,21.6,0.65536
server3,21.8,0.65536
server3,22.0,0.65536
server3,22.2,0.65536
server3,22.4,0.65536
server3,22.6,0.65536
server3,22.8,0.65536
server3,23.0,0.65536
server3,23.2,17.3472
server3,23.4,0.65536
server3,23.6,0.65536
server3,23.8,0.65536
server3,24.0,0.65536
server3,24.2,0.65536
server3,24.4,0.65536
server3,24.6,20.00832
server3,24.8,0.65536
server3,25.0,0.65536
server3,25.2,0.65536
server3,25.4,0.65536
server3,25.6,20.97152
server3,25.8,0.65536
server3,26.0,0.65536
server3,26.2,0.65536
server3,26.4,21.62688
server3,26.6,0.65536
server3,26.8,0.65536
server3,27.0,0.65536
server3,27.2,20.3344
server3,27.4,1.29248
server3,27.6,0.65536
server3,27.8,22.28224
server3,28.0,0.65536
server3,28.2,0.65536
server3,28.4,21.62688
server3,28.6,0.65536
server3,28.8,0.65536
server3,29.0,23.55648
server3,29.2,0.65536
server3,29.4,22.9376
server3,29.6,0.65536
server3,29.8,22.28224
server3,30.0,0.65536
server3,30.2,22.9376
server3,30.4,23.53504
server3,30.6,23.65088
server3,30.8,0.65536
server3,31.0,22.9376
server3,31.2,22.9376
server3,31.4,23.59296
server3,31.6,47.18592
server3,31.8,22.9376
server3,32.0,23.59296
server3,32.2,23.47712
server3,32.4,47.30176
server3,32.6,22.9376
server3,32.8,46.53056
server3,33.0,24.75136
server3,33.2,46.53056
server3,33.4,47.18592
server3,33.6,46.8384
server3,33.8,46.87808
server3,34.0,22.9376
server3,34.2,47.86272
server3,34.4,22.28224
server3,34.6,0.65536
server3,34.8,0.65536
server3,35.0,109.1104
server3,35.2,0.65536
server3,35.4,0.65536
server3,35.6,0.65536
server3,35.8,0.65536
server3,36.0,0.65536
server3,36.2,0.65536
server3,36.4,0.65536
server3,36.6,0.65536
server3,36.8,17.69472
server3,37.0,0.65536
server3,37.2,0.65536
server3,37.4,54.67584
server3,37.6,0.65536
server3,37.8,0.65536
server3,38.0,21.62688
server3,38.2,0.7712
server3,38.4,0.65536
server3,38.6,0.65536
server3,38.8,76.41856
server3,39.0,0.65536
server3,39.2,0.65536
server3,39.4,0.65536
server3,39.6,1.69792
server3,39.8,0.0
server3,40.0,0.65536
server3,40.2,0.65536
server3,40.4,0.65536
server3,40.6,0.65536
server3,40.8,109.47616
server3,41.0,24.8672
server3,41.2,0.65536
server3,41.4,22.9376
server3,41.6,0.65536
server3,41.8,0.65536
server3,42.0,21.62688
server3,42.2,0.65536
server3,42.4,22.82176
server3,42.6,0.65536
server3,42.8,23.05344
server3,43.0,0.65536
server3,43.2,22.9376
server3,43.4,0.65536
server3,43.6,22.9376
server3,43.8,22.648
server3,44.0,0.65536
server3,44.2,22.57184
server3,44.4,0.65536
server3,44.6,23.44064
server3,44.8,0.65536
server3,45.0,24.21184
server4,0.2,90.85792
server4,0.4,0.65536
server4,0.6,0.65536
server4,0.8,0.65536
