flow_id,src_ip,dst_ip,src_port,dst_port,tx_packets,rx_packets,time_first_tx,time_last_rx,fct_sec,rx_bytes
205,10.0.3.2,10.0.10.2,49162,9010,46758,46694,0.110200000,0.207322373,0.097122373,69554332
207,10.0.3.2,10.0.11.2,49163,9011,46758,46694,0.110300000,0.205767984,0.095467984,69554332
209,10.0.3.2,10.0.12.2,49164,9012,46701,46637,0.110400000,0.205219640,0.094819640,69551208
211,10.0.3.2,10.0.13.2,49165,9013,46710,46646,0.110500000,0.206708321,0.096208321,69551836
213,10.0.3.2,10.0.14.2,49166,9014,46667,46603,0.110600000,0.205127668,0.094527668,69532224
215,10.0.3.2,10.0.15.2,49167,9015,46466,46402,0.110700000,0.207115287,0.096415287,69521772
217,10.0.3.2,10.0.16.2,49168,9016,46582,46349,0.110800000,1.218399848,1.107599848,69519016
219,10.0.3.2,10.0.17.2,49169,9017,46831,46349,0.110900000,1.228930654,1.118030654,69519016
221,10.0.3.2,10.0.18.2,49170,9018,46583,46350,0.111000000,1.218458045,1.107458045,69519068
223,10.0.3.2,10.0.19.2,49171,9019,46648,46350,0.111100000,1.218474355,1.107374355,69519068
224,10.0.3.2,10.0.20.2,49172,9020,46581,46349,0.111200000,1.218436309,1.107236309,69519016
226,10.0.3.2,10.0.21.2,49173,9021,46648,46350,0.111300000,1.218516660,1.107216660,69519068
228,10.0.3.2,10.0.22.2,49174,9022,46583,46350,0.111400000,1.218518764,1.107118764,69519068
230,10.0.3.2,10.0.23.2,49175,9023,46582,46350,0.111500000,1.218513232,1.107013232,69519068
232,10.0.3.2,10.0.24.2,49176,9024,46534,46349,0.111600000,1.219568728,1.107968728,69519016
234,10.0.3.2,10.0.25.2,49177,9025,46528,46349,0.111700000,1.218525934,1.106825934,69519016
236,10.0.3.2,10.0.26.2,49178,9026,46654,46349,0.111800000,1.215121694,1.103321694,69519016
238,10.0.3.2,10.0.27.2,49179,9027,46657,46350,0.111900000,1.215944922,1.104044922,69519068
240,10.0.3.2,10.0.28.2,49180,9028,46528,46350,0.112000000,1.218649851,1.106649851,69519068
242,10.0.3.2,10.0.29.2,49181,9029,46749,46349,0.112100000,1.230008108,1.117908108,69519016
244,10.0.3.2,10.0.30.2,49182,9030,46721,46349,0.112200000,1.232540326,1.120340326,69519016
246,10.0.3.2,10.0.31.2,49183,9031,46534,46351,0.112300000,1.218922489,1.106622489,69519120
248,10.0.4.2,10.0.0.2,49153,9000,56728,56728,0.112400000,0.258780929,0.146380929,70058724
251,10.0.4.2,10.0.1.2,49154,9001,56728,56728,0.112500000,0.258794812,0.146294812,70058724
253,10.0.4.2,10.0.2.2,49155,9002,56728,56728,0.112600000,0.258802063,0.146202063,70058724
255,10.0.4.2,10.0.3.2,49156,9003,56728,56728,0.112700000,0.258804922,0.146104922,70058724
257,10.0.4.2,10.0.5.2,49157,9005,48975,48911,0.112800000,0.236250599,0.123450599,69670728
259,10.0.4.2,10.0.6.2,49158,9006,47115,47051,0.112900000,0.251960537,0.139060537,69572896
261,10.0.4.2,10.0.7.2,49159,9007,46913,46849,0.113000000,0.255583603,0.142583603,69562568
263,10.0.4.2,10.0.8.2,49160,9008,46755,46691,0.113100000,0.256761565,0.143661565,69554176
